Trade #,Balance,Profit,Risk %,Lot Size
1,$30.00,$1.80,3.00%,0.01
2,$31.80,$1.91,3.00%,0.01
3,$33.71,$2.02,3.00%,0.01
4,$35.73,$2.14,3.00%,0.01
5,$37.87,$2.27,3.00%,0.01
6,$40.15,$2.41,3.00%,0.01
7,$42.56,$2.55,3.00%,0.01
8,$45.11,$2.71,3.00%,0.01
9,$47.82,$2.87,3.00%,0.01
10,$50.68,$3.04,3.00%,0.02
11,$53.73,$3.22,3.00%,0.02
12,$56.95,$3.42,3.00%,0.02
13,$60.37,$3.62,3.00%,0.02
14,$63.99,$3.84,3.00%,0.02
15,$67.83,$4.07,3.00%,0.02
16,$71.90,$4.31,3.00%,0.02
17,$76.21,$4.57,3.00%,0.02
18,$80.78,$4.85,3.00%,0.02
19,$85.63,$5.14,3.00%,0.03
20,$90.77,$5.45,3.00%,0.03
21,$96.21,$5.77,3.00%,0.03
22,$101.99,$6.12,3.00%,0.03
23,$108.11,$6.49,3.00%,0.03
24,$114.59,$6.88,3.00%,0.03
25,$121.47,$7.29,3.00%,0.04
26,$128.76,$7.73,3.00%,0.04
27,$136.48,$8.19,3.00%,0.04
28,$144.67,$8.68,3.00%,0.04
29,$153.35,$9.20,3.00%,0.05
30,$162.55,$9.75,3.00%,0.05
31,$172.30,$10.34,3.00%,0.05
32,$182.64,$10.96,3.00%,0.05
33,$193.60,$11.62,3.00%,0.06
34,$205.22,$12.31,3.00%,0.06
35,$217.53,$13.05,3.00%,0.07
36,$230.58,$13.83,3.00%,0.07
37,$244.42,$14.67,3.00%,0.07
38,$259.08,$15.54,3.00%,0.08
39,$274.63,$16.48,3.00%,0.08
40,$291.11,$17.47,3.00%,0.09
41,$308.57,$6.17,1.00%,0.03
42,$314.74,$6.29,1.00%,0.03
43,$321.04,$6.42,1.00%,0.03
44,$327.46,$6.55,1.00%,0.03
45,$334.01,$6.68,1.00%,0.03
46,$340.69,$6.81,1.00%,0.03
47,$347.50,$6.95,1.00%,0.03
48,$354.45,$7.09,1.00%,0.04
49,$361.54,$7.23,1.00%,0.04
50,$368.77,$7.38,1.00%,0.04
51,$376.15,$7.52,1.00%,0.04
52,$383.67,$7.67,1.00%,0.04
53,$391.34,$7.83,1.00%,0.04
54,$399.17,$7.98,1.00%,0.04
55,$407.15,$8.14,1.00%,0.04
56,$415.30,$8.31,1.00%,0.04
57,$423.60,$8.47,1.00%,0.04
58,$432.07,$8.64,1.00%,0.04
59,$440.72,$8.81,1.00%,0.04
60,$449.53,$8.99,1.00%,0.04
61,$458.52,$9.17,1.00%,0.05
62,$467.69,$9.35,1.00%,0.05
63,$477.05,$9.54,1.00%,0.05
64,$486.59,$9.73,1.00%,0.05
65,$496.32,$9.93,1.00%,0.05
66,$506.24,$10.12,1.00%,0.05
67,$516.37,$10.33,1.00%,0.05
68,$526.70,$10.53,1.00%,0.05
69,$537.23,$10.74,1.00%,0.05
70,$547.98,$10.96,1.00%,0.05
71,$558.93,$11.18,1.00%,0.06
72,$570.11,$11.40,1.00%,0.06
73,$581.52,$11.63,1.00%,0.06
74,$593.15,$11.86,1.00%,0.06
75,$605.01,$12.10,1.00%,0.06
76,$617.11,$12.34,1.00%,0.06
77,$629.45,$12.59,1.00%,0.06
78,$642.04,$12.84,1.00%,0.06
79,$654.88,$13.10,1.00%,0.07
80,$667.98,$13.36,1.00%,0.07
81,$681.34,$13.63,1.00%,0.07
82,$694.96,$13.90,1.00%,0.07
83,$708.86,$14.18,1.00%,0.07
84,$723.04,$14.46,1.00%,0.07
85,$737.50,$14.75,1.00%,0.07
86,$752.25,$15.05,1.00%,0.08
87,$767.30,$15.35,1.00%,0.08
88,$782.64,$15.65,1.00%,0.08
89,$798.30,$15.97,1.00%,0.08
90,$814.26,$16.29,1.00%,0.08
91,$830.55,$16.61,1.00%,0.08
92,$847.16,$16.94,1.00%,0.08
93,$864.10,$17.28,1.00%,0.09
94,$881.38,$17.63,1.00%,0.09
95,$899.01,$17.98,1.00%,0.09
96,$916.99,$18.34,1.00%,0.09
97,$935.33,$18.71,1.00%,0.09
98,$954.04,$19.08,1.00%,0.1
99,$973.12,$19.46,1.00%,0.1
100,$992.58,$19.85,1.00%,0.1
101,$1012.43,$20.25,1.00%,0.1
102,$1032.68,$20.65,1.00%,0.1
103,$1053.33,$21.07,1.00%,0.11
104,$1074.40,$21.49,1.00%,0.11
105,$1095.89,$21.92,1.00%,0.11
106,$1117.81,$22.36,1.00%,0.11
107,$1140.16,$22.80,1.00%,0.11
108,$1162.97,$23.26,1.00%,0.12
109,$1186.23,$23.72,1.00%,0.12
110,$1209.95,$24.20,1.00%,0.12
111,$1234.15,$24.68,1.00%,0.12
112,$1258.83,$25.18,1.00%,0.13
113,$1284.01,$25.68,1.00%,0.13
114,$1309.69,$26.19,1.00%,0.13
115,$1335.88,$26.72,1.00%,0.13
116,$1362.60,$27.25,1.00%,0.14
117,$1389.85,$27.80,1.00%,0.14
118,$1417.65,$28.35,1.00%,0.14
119,$1446.00,$28.92,1.00%,0.14
120,$1474.92,$29.50,1.00%,0.15
121,$1504.42,$30.09,1.00%,0.15
122,$1534.51,$30.69,1.00%,0.15
123,$1565.20,$31.30,1.00%,0.16
124,$1596.50,$31.93,1.00%,0.16
125,$1628.43,$32.57,1.00%,0.16
126,$1661.00,$33.22,1.00%,0.17
127,$1694.22,$33.88,1.00%,0.17
128,$1728.11,$34.56,1.00%,0.17
129,$1762.67,$35.25,1.00%,0.18
130,$1797.92,$35.96,1.00%,0.18
131,$1833.88,$36.68,1.00%,0.18
132,$1870.56,$37.41,1.00%,0.19
133,$1907.97,$38.16,1.00%,0.19
134,$1946.13,$38.92,1.00%,0.19
135,$1985.05,$39.70,1.00%,0.2
136,$2024.75,$40.50,1.00%,0.2
137,$2065.25,$41.30,1.00%,0.21
138,$2106.55,$42.13,1.00%,0.21
139,$2148.68,$42.97,1.00%,0.21
140,$2191.66,$43.83,1.00%,0.22
141,$2235.49,$44.71,1.00%,0.22
142,$2280.20,$45.60,1.00%,0.23
143,$2325.81,$46.52,1.00%,0.23
144,$2372.32,$47.45,1.00%,0.24
145,$2419.77,$48.40,1.00%,0.24
146,$2468.16,$49.36,1.00%,0.25
147,$2517.53,$50.35,1.00%,0.25
148,$2567.88,$51.36,1.00%,0.26
149,$2619.23,$52.38,1.00%,0.26
150,$2671.62,$53.43,1.00%,0.27
151,$2725.05,$54.50,1.00%,0.27
152,$2779.55,$55.59,1.00%,0.28
153,$2835.14,$56.70,1.00%,0.28
154,$2891.85,$57.84,1.00%,0.29
155,$2949.68,$58.99,1.00%,0.29
