Trade #,Balance,Profit,Risk %,Lot Size
1,$20.00,$0.40,1.00%,0.0
2,$20.40,$0.41,1.00%,0.0
3,$20.81,$0.42,1.00%,0.0
4,$21.22,$0.42,1.00%,0.0
5,$21.65,$0.43,1.00%,0.0
6,$22.08,$0.44,1.00%,0.0
7,$22.52,$0.45,1.00%,0.0
8,$22.97,$0.46,1.00%,0.0
9,$23.43,$0.47,1.00%,0.0
10,$23.90,$0.48,1.00%,0.0
11,$24.38,$0.49,1.00%,0.0
12,$24.87,$0.50,1.00%,0.0
13,$25.36,$0.51,1.00%,0.0
14,$25.87,$0.52,1.00%,0.0
15,$26.39,$0.53,1.00%,0.0
16,$26.92,$0.54,1.00%,0.0
17,$27.46,$0.55,1.00%,0.0
18,$28.00,$0.56,1.00%,0.0
19,$28.56,$0.57,1.00%,0.0
20,$29.14,$0.58,1.00%,0.0
21,$29.72,$0.59,1.00%,0.0
22,$30.31,$0.61,1.00%,0.0
23,$30.92,$0.62,1.00%,0.0
24,$31.54,$0.63,1.00%,0.0
25,$32.17,$0.64,1.00%,0.0
26,$32.81,$0.66,1.00%,0.0
27,$33.47,$0.67,1.00%,0.0
28,$34.14,$0.68,1.00%,0.0
29,$34.82,$0.70,1.00%,0.0
30,$35.52,$0.71,1.00%,0.0
31,$36.23,$0.72,1.00%,0.0
32,$36.95,$0.74,1.00%,0.0
33,$37.69,$0.75,1.00%,0.0
34,$38.44,$0.77,1.00%,0.0
35,$39.21,$0.78,1.00%,0.0
36,$40.00,$0.80,1.00%,0.0
37,$40.80,$0.82,1.00%,0.0
38,$41.61,$0.83,1.00%,0.0
39,$42.45,$0.85,1.00%,0.0
40,$43.29,$0.87,1.00%,0.0
41,$44.16,$0.88,1.00%,0.0
42,$45.04,$0.90,1.00%,0.0
43,$45.94,$0.92,1.00%,0.0
44,$46.86,$0.94,1.00%,0.0
45,$47.80,$0.96,1.00%,0.0
46,$48.76,$0.98,1.00%,0.0
47,$49.73,$0.99,1.00%,0.0
48,$50.73,$1.01,1.00%,0.0
49,$51.74,$1.03,1.00%,0.0
50,$52.78,$1.06,1.00%,0.0
51,$53.83,$1.08,1.00%,0.0
52,$54.91,$1.10,1.00%,0.0
53,$56.01,$1.12,1.00%,0.0
54,$57.13,$1.14,1.00%,0.0
55,$58.27,$1.17,1.00%,0.0
56,$59.43,$1.19,1.00%,0.0
57,$60.62,$1.21,1.00%,0.0
58,$61.84,$1.24,1.00%,0.0
59,$63.07,$1.26,1.00%,0.0
60,$64.33,$1.29,1.00%,0.0
61,$65.62,$1.31,1.00%,0.0
62,$66.93,$1.34,1.00%,0.0
63,$68.27,$1.37,1.00%,0.0
64,$69.64,$1.39,1.00%,0.0
65,$71.03,$1.42,1.00%,0.0
66,$72.45,$1.45,1.00%,0.0
67,$73.90,$1.48,1.00%,0.0
68,$75.38,$1.51,1.00%,0.0
69,$76.89,$1.54,1.00%,0.0
70,$78.42,$1.57,1.00%,0.0
71,$79.99,$1.60,1.00%,0.0
72,$81.59,$1.63,1.00%,0.0
73,$83.22,$1.66,1.00%,0.0
74,$84.89,$1.70,1.00%,0.0
75,$86.59,$1.73,1.00%,0.0
76,$88.32,$1.77,1.00%,0.0
77,$90.08,$1.80,1.00%,0.0
78,$91.88,$1.84,1.00%,0.0
79,$93.72,$1.87,1.00%,0.0
80,$95.60,$1.91,1.00%,0.0
81,$97.51,$1.95,1.00%,0.0
82,$99.46,$1.99,1.00%,0.0
83,$101.45,$2.03,1.00%,0.0
84,$103.48,$2.07,1.00%,0.0
85,$105.55,$2.11,1.00%,0.0
86,$107.66,$2.15,1.00%,0.0
87,$109.81,$2.20,1.00%,0.0
88,$112.01,$2.24,1.00%,0.0
89,$114.25,$2.28,1.00%,0.0
90,$116.53,$2.33,1.00%,0.0
91,$118.86,$2.38,1.00%,0.0
92,$121.24,$2.42,1.00%,0.0
93,$123.66,$2.47,1.00%,0.0
94,$126.14,$2.52,1.00%,0.0
95,$128.66,$2.57,1.00%,0.0
96,$131.23,$2.62,1.00%,0.0
97,$133.86,$2.68,1.00%,0.0
98,$136.54,$2.73,1.00%,0.0
99,$139.27,$2.79,1.00%,0.0
100,$142.05,$2.84,1.00%,0.0
101,$144.89,$2.90,1.00%,0.0
102,$147.79,$2.96,1.00%,0.0
103,$150.75,$3.01,1.00%,0.0
104,$153.76,$3.08,1.00%,0.0
105,$156.84,$3.14,1.00%,0.0
106,$159.97,$3.20,1.00%,0.0
107,$163.17,$3.26,1.00%,0.0
108,$166.44,$3.33,1.00%,0.0
109,$169.77,$3.40,1.00%,0.0
110,$173.16,$3.46,1.00%,0.0
111,$176.62,$3.53,1.00%,0.0
112,$180.16,$3.60,1.00%,0.0
113,$183.76,$3.68,1.00%,0.0
114,$187.43,$3.75,1.00%,0.0
115,$191.18,$3.82,1.00%,0.0
116,$195.01,$3.90,1.00%,0.0
117,$198.91,$3.98,1.00%,0.0
118,$202.89,$4.06,1.00%,0.0
119,$206.94,$4.14,1.00%,0.0
120,$211.08,$4.22,1.00%,0.0
121,$215.30,$4.31,1.00%,0.0
122,$219.61,$4.39,1.00%,0.0
123,$224.00,$4.48,1.00%,0.0
124,$228.48,$4.57,1.00%,0.0
125,$233.05,$4.66,1.00%,0.0
126,$237.71,$4.75,1.00%,0.0
127,$242.47,$4.85,1.00%,0.0
128,$247.32,$4.95,1.00%,0.0
129,$252.26,$5.05,1.00%,0.0
130,$257.31,$5.15,1.00%,0.0
131,$262.45,$5.25,1.00%,0.0
132,$267.70,$5.35,1.00%,0.0
133,$273.06,$5.46,1.00%,0.0
134,$278.52,$5.57,1.00%,0.0
135,$284.09,$5.68,1.00%,0.0
136,$289.77,$5.80,1.00%,0.0
137,$295.57,$5.91,1.00%,0.0
138,$301.48,$6.03,1.00%,0.0
139,$307.51,$6.15,1.00%,0.0
140,$313.66,$6.27,1.00%,0.0
141,$319.93,$6.40,1.00%,0.0
142,$326.33,$6.53,1.00%,0.0
143,$332.85,$6.66,1.00%,0.0
144,$339.51,$6.79,1.00%,0.0
145,$346.30,$6.93,1.00%,0.0
146,$353.23,$7.06,1.00%,0.0
147,$360.29,$7.21,1.00%,0.0
148,$367.50,$7.35,1.00%,0.0
149,$374.85,$7.50,1.00%,0.0
150,$382.35,$7.65,1.00%,0.0
151,$389.99,$7.80,1.00%,0.0
152,$397.79,$7.96,1.00%,0.0
153,$405.75,$8.11,1.00%,0.0
154,$413.86,$8.28,1.00%,0.0
155,$422.14,$8.44,1.00%,0.0
156,$430.58,$8.61,1.00%,0.0
157,$439.19,$8.78,1.00%,0.0
158,$447.98,$8.96,1.00%,0.0
159,$456.94,$9.14,1.00%,0.0
160,$466.08,$9.32,1.00%,0.0
161,$475.40,$9.51,1.00%,0.0
162,$484.91,$9.70,1.00%,0.0
163,$494.60,$9.89,1.00%,0.0
164,$504.50,$10.09,1.00%,0.01
165,$514.59,$10.29,1.00%,0.01
166,$524.88,$10.50,1.00%,0.01
167,$535.38,$10.71,1.00%,0.01
168,$546.08,$10.92,1.00%,0.01
169,$557.00,$11.14,1.00%,0.01
170,$568.14,$11.36,1.00%,0.01
171,$579.51,$11.59,1.00%,0.01
172,$591.10,$11.82,1.00%,0.01
173,$602.92,$12.06,1.00%,0.01
174,$614.98,$12.30,1.00%,0.01
175,$627.28,$12.55,1.00%,0.01
176,$639.82,$12.80,1.00%,0.01
177,$652.62,$13.05,1.00%,0.01
178,$665.67,$13.31,1.00%,0.01
179,$678.99,$13.58,1.00%,0.01
180,$692.57,$13.85,1.00%,0.01
181,$706.42,$14.13,1.00%,0.01
182,$720.54,$14.41,1.00%,0.01
183,$734.96,$14.70,1.00%,0.01
184,$749.65,$14.99,1.00%,0.01
185,$764.65,$15.29,1.00%,0.01
186,$779.94,$15.60,1.00%,0.01
187,$795.54,$15.91,1.00%,0.01
188,$811.45,$16.23,1.00%,0.01
189,$827.68,$16.55,1.00%,0.01
190,$844.23,$16.88,1.00%,0.01
191,$861.12,$17.22,1.00%,0.01
192,$878.34,$17.57,1.00%,0.01
193,$895.91,$17.92,1.00%,0.01
194,$913.83,$18.28,1.00%,0.01
195,$932.10,$18.64,1.00%,0.01
196,$950.74,$19.01,1.00%,0.01
197,$969.76,$19.40,1.00%,0.01
198,$989.15,$19.78,1.00%,0.01
